DATE,new_private_hw_under
1987-01-01,1090.0
1987-02-01,1096.0
1987-03-01,1084.0
1987-04-01,1079.0
1987-05-01,1070.0
1987-06-01,1060.0
1987-07-01,1051.0
1987-08-01,1045.0
1987-09-01,1048.0
1987-10-01,1041.0
1987-11-01,1042.0
1987-12-01,1018.0
1988-01-01,1008.0
1988-02-01,976.0
1988-03-01,994.0
1988-04-01,999.0
1988-05-01,987.0
1988-06-01,980.0
1988-07-01,971.0
1988-08-01,967.0
1988-09-01,958.0
1988-10-01,953.0
1988-11-01,960.0
1988-12-01,955.0
1989-01-01,955.0
1989-02-01,947.0
1989-03-01,940.0
1989-04-01,922.0
1989-05-01,913.0
1989-06-01,913.0
1989-07-01,918.0
1989-08-01,901.0
1989-09-01,895.0
1989-10-01,897.0
1989-11-01,882.0
1989-12-01,885.0
1990-01-01,891.0
1990-02-01,898.0
1990-03-01,885.0
1990-04-01,872.0
1990-05-01,858.0
1990-06-01,846.0
1990-07-01,831.0
1990-08-01,813.0
1990-09-01,793.0
1990-10-01,766.0
1990-11-01,758.0
1990-12-01,745.0
1991-01-01,716.0
1991-02-01,710.0
1991-03-01,678.0
1991-04-01,670.0
1991-05-01,662.0
1991-06-01,654.0
1991-07-01,652.0
1991-08-01,651.0
1991-09-01,633.0
1991-10-01,630.0
1991-11-01,636.0
1991-12-01,633.0
1992-01-01,639.0
1992-02-01,630.0
1992-03-01,656.0
1992-04-01,650.0
1992-05-01,650.0
1992-06-01,644.0
1992-07-01,629.0
1992-08-01,635.0
1992-09-01,638.0
1992-10-01,643.0
1992-11-01,641.0
1992-12-01,638.0
1993-01-01,636.0
1993-02-01,640.0
1993-03-01,633.0
1993-04-01,636.0
1993-05-01,648.0
1993-06-01,654.0
1993-07-01,663.0
1993-08-01,665.0
1993-09-01,677.0
1993-10-01,687.0
1993-11-01,695.0
1993-12-01,703.0
1994-01-01,709.0
1994-02-01,716.0
1994-03-01,732.0
1994-04-01,740.0
1994-05-01,749.0
1994-06-01,757.0
1994-07-01,764.0
1994-08-01,773.0
1994-09-01,774.0
1994-10-01,775.0
1994-11-01,785.0
1994-12-01,784.0
1995-01-01,783.0
1995-02-01,793.0
1995-03-01,771.0
1995-04-01,761.0
1995-05-01,758.0
1995-06-01,759.0
1995-07-01,762.0
1995-08-01,774.0
1995-09-01,780.0
1995-10-01,781.0
1995-11-01,786.0
1995-12-01,799.0
1996-01-01,803.0
1996-02-01,793.0
1996-03-01,814.0
1996-04-01,827.0
1996-05-01,832.0
1996-06-01,826.0
1996-07-01,824.0
1996-08-01,820.0
1996-09-01,824.0
1996-10-01,821.0
1996-11-01,829.0
1996-12-01,814.0
1997-01-01,817.0
1997-02-01,810.0
1997-03-01,808.0
1997-04-01,810.0
1997-05-01,816.0
1997-06-01,826.0
1997-07-01,836.0
1997-08-01,836.0
1997-09-01,846.0
1997-10-01,858.0
1997-11-01,865.0
1997-12-01,872.0
1998-01-01,886.0
1998-02-01,896.0
1998-03-01,905.0
1998-04-01,906.0
1998-05-01,912.0
1998-06-01,927.0
1998-07-01,938.0
1998-08-01,941.0
1998-09-01,952.0
1998-10-01,972.0
1998-11-01,976.0
1998-12-01,1003.0
1999-01-01,973.0
1999-02-01,989.0
1999-03-01,994.0
1999-04-01,991.0
1999-05-01,989.0
1999-06-01,981.0
1999-07-01,983.0
1999-08-01,989.0
1999-09-01,983.0
1999-10-01,983.0
1999-11-01,983.0
1999-12-01,983.0
2000-01-01,991.0
2000-02-01,998.0
2000-03-01,988.0
2000-04-01,989.0
2000-05-01,985.0
2000-06-01,982.0
2000-07-01,979.0
2000-08-01,976.0
2000-09-01,970.0
2000-10-01,972.0
2000-11-01,970.0
2000-12-01,969.0
2001-01-01,986.0
2001-02-01,987.0
2001-03-01,1001.0
2001-04-01,1007.0
2001-05-01,1015.0
2001-06-01,1013.0
2001-07-01,1017.0
2001-08-01,1011.0
2001-09-01,1014.0
2001-10-01,1008.0
2001-11-01,1011.0
2001-12-01,996.0
2002-01-01,996.0
2002-02-01,1005.0
2002-03-01,1013.0
2002-04-01,1011.0
2002-05-01,1019.0
2002-06-01,1023.0
2002-07-01,1029.0
2002-08-01,1013.0
2002-09-01,1024.0
2002-10-01,1026.0
2002-11-01,1031.0
2002-12-01,1033.0
2003-01-01,1049.0
2003-02-01,1044.0
2003-03-01,1044.0
2003-04-01,1043.0
2003-05-01,1047.0
2003-06-01,1064.0
2003-07-01,1078.0
2003-08-01,1102.0
2003-09-01,1121.0
2003-10-01,1135.0
2003-11-01,1158.0
2003-12-01,1183.0
2004-01-01,1191.0
2004-02-01,1197.0
2004-03-01,1219.0
